1|A Brief History of Time|0-553-05340-X|1988
2|The Universe in a Nutshell|0-553-80202-3|2001
3|A Briefer History of Time|0-553-80436-7|2005
4|The Grand Design|0-553-80537-1|2010
5|The Hitchhiker's Guide to the Galaxy|0-345-39180-3|1979
6|The Restaurant at the End of the Universe|0-345-39181-0|1980 
7|Life, The Universe and Everything|0-345-39182-9|1982
8|So Long, and Thanks for all the Fish|0-345-39183-7|1984
9|The Complete Monty Python's Flying Circus; All the Words, Volume 1|0-679-72647-0|1989
10|The Complete Monty Python's Flying Circus; All the Words, Volume 2|0-679-72648-9|1989
11|Penguin Dreams and Stranger Things: Bloom County|0-316-10725-5|1985
12|Tales Too Ticklish to Tell: Bloom County|0-316-10735-2|1988
13|Calvin and Hobbes|0-836-22088-9|1987
14|Something Under the Bed is Drooling|0-836-21825-6|1988
15|Scientific Progress Goes 'Boink': A Calvin and Hobbes Collection|0-836-21878-7|1991
16|Attack of the Deranged Mutant Killer Monster Snow Goons|0-836-21883-3|1992
17|The Dilbert Principle|0-887-30858-9|1997
18|Thinking, Fast and Slow|0-374-27563-1|2011
19|Philosophiae Naturalis Principia Mathematica|1-536-88705-6|1687
